Country Name;Indicator Name;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Asie du Sud (BIRD et IDA);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.29571428571429;;;2.4875;;2.58142857142857;;2.607411875;;2.62282028571429;;2.51;;;;2.64
Afrique subsaharienne (BIRD et IDA);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.3474358974359;;;2.42194444444444;;2.45648648648649;;2.46120590476191;;2.47001585;;2.44974358974359;;;;2.53461538461538
Trinité-et-Tobago;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;2.398418;;2.42;;;;2.5
Tunisie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.76;;;2.84;;3.17;;2.550996;;2.496688;;2.57;;;;
Turquie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.15;;;3.22;;3.51;;3.500225;;3.423693;;3.15;;;;3.4
Tuvalu;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Tanzanie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.08;;;2.6;;2.65;;2.330834;;2.990185;;;;;;
Ouganda;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.49;;;2.82;;;;;;3.043284;;2.58;;;;
Ukraine;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.55;;;2.57;;2.85;;2.976444;;2.736683;;2.83;;;;2.7
Uruguay;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.51;;;2.75;;2.98;;2.678649;;2.974545;;2.69;;;;3
États-Unis;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.84;;;3.86;;3.93;;3.917825;;3.992172;;3.89;;;;3.8
Ouzbékistan;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.16;;;2.79;;2.46;;2.39477;;2.404525;;2.58;;;;2.6
Saint-Vincent-et-les Grenadines;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Venezuela;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.62;;;2.68;;2.49;;2.808111;;2.39078;;2.23;;;;2.3
Îles Vierges britanniques;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Îles Vierges (EU);Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Viet Nam;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.89;;;2.96;;3;;3.154763;;2.976629;;3.27;;;;3.3
Vanuatu;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Samoa;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Kosovo;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Afrique du Sud;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.53;;;3.46;;3.67;;3.431244;;3.775321;;3.38;;;;3.7
Zambie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.37;;;2.28;;;;2.462674;;2.429813;;2.53;;;;
Zimbabwe;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.29;;;;;2.55;;2.33928;;2.082408;;2.12;;;;2.5
