Country Name;Indicator Name;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Chypre;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.92;;;3.13;;3.24;;3.000577;;2.999061;;3.15;;;;3.2
République tchèque;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.13;;;3.51;;3.14;;3.492416;;3.674309;;3.68;;;;3.3
Allemagne;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.1;;;4.11;;4.03;;4.121983;;4.225967;;4.2;;;;4.1
Djibouti;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.94;;;2.39;;1.8;;2.149867;;2.32254;;2.63;;;;2.7
Dominique;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Danemark;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.86;;;3.85;;4.02;;3.78252;;3.815794;;3.99;;;;4.1
République dominicaine;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.38;;;2.82;;2.7;;2.860551;;2.62728;;2.66;;;;2.6
Algérie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.06;;;2.36;;2.41;;2.649451;;2.769683;;2.45;;;;2.5
Asie de l’Est et Pacifique (hors revenu élevé);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.58153846153846;;;2.72692307692308;;2.77230769230769;;2.85316438461538;;2.787426;;2.81538461538462;;;;2.95833333333333
Asie de l’Est et Pacifique;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.0235;;;3.1115;;3.139;;3.18375385;;3.13744447619048;;3.14761904761905;;;;3.3
Équateur;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.6;;;2.77;;2.76;;2.710986;;2.779081;;2.88;;;;
Érythrée;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.19;;;1.7;;2.11;;2.084755;;2.171842;;2.09;;;;
Espagne;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.52;;;3.63;;3.7;;3.718636;;3.727412;;3.83;;;;3.9
Estonie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.95;;;3.16;;2.86;;3.34592;;3.363489;;3.31;;;;3.6
Éthiopie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.33;;;2.41;;2.24;;2.593625;;2.376767;;;;;;
Union européenne;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.40692307692308;;;3.44296296296296;;3.45;;3.54286218518519;;3.59299633333333;;3.51925925925926;;;;3.61851851851852
Finlande;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.82;;;3.89;;4.05;;3.623035;;3.920745;;3.97;;;;4.2
Fidji;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.24;;2.42;;2.545003;;2.316186;;2.35;;;;2.3
France;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.76;;;3.84;;3.85;;3.847305;;3.900953;;3.84;;;;3.9
Îles Féroé;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Gabon;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.1;;;2.41;;2.34;;2.202899;;2.19165;;2.16;;;;2.4
Royaume-Uni;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.99;;;3.95;;3.9;;4.014649;;4.069669;;3.99;;;;3.7
Géorgie;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.61;;2.77;;2.507491;;2.353013;;2.44;;;;2.7
Ghana;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.16;;;2.47;;2.51;;2.626934;;2.660931;;2.57;;;;2.5
Gibraltar;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Guinée;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.71;;;2.6;;2.48;;2.464191;;2.35896;;2.2;;;;2.5
Gambie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.52;;;2.49;;2.46;;2.249081;;;;2.4;;;;2.3
Guinée-Bissau;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.28;;;2.1;;2.6;;2.426464;;2.370681;;2.39;;;;2.6
Guinée équatoriale;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;2.354636;;1.87919;;2.32;;;;
Grèce;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.36;;;2.96;;2.83;;3.201602;;3.239516;;3.2;;;;3.7
Grenade;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;2.5
Groenland;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Guatemala;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.53;;;2.63;;2.8;;2.797453;;2.476327;;2.41;;;;2.6
Guam;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Guyana;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.05;;;2.27;;2.33;;2.459132;;2.667018;;2.36;;;;2.4
Honduras;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.5;;;2.78;;2.53;;2.607427;;2.462812;;2.6;;;;2.9
Croatie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.71;;;2.77;;3.16;;3.052949;;3.160829;;3.1;;;;3.3
Haïti;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.21;;;2.59;;2.03;;2.269601;;1.716096;;2.11;;;;2.1
Hongrie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.15;;;2.99;;3.17;;3.464438;;3.428968;;3.42;;;;3.2
BIRD seulement;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.61924528301887;;;2.76368421052632;;2.81431034482759;;2.83754173684211;;2.75520366101695;;2.77155172413793;;;;2.86111111111111
BIRD et IDA;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.43559633027523;;;2.60081818181818;;2.622;;2.63636264347826;;2.58694207017544;;2.60491228070175;;;;2.69255319148936
Indonésie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.01;;;2.76;;2.94;;3.081806;;2.984537;;3.15;;;;3
Île de Man;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Inde;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.07;;;3.12;;3.08;;3.080137;;3.420043;;3.18;;;;3.4
Non classifié;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Irlande;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.91;;;3.89;;3.52;;3.868014;;3.794886;;3.51;;;;3.6
Iraq;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.11;;2.16;;2.29784;;2.149902;;2.18;;;;2.4
Islande;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;3.2;;3.39;;3.391863;;3.345605;;3.23;;;;3.6
Israël;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.21;;;3.41;;;;3.260446;;3.66033;;3.31;;;;3.6
Italie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.58;;;3.64;;3.67;;3.691076;;3.755414;;3.74;;;;3.7
Jamaïque;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.25;;;2.53;;2.42;;2.842494;;2.400214;;2.52;;;;2.5
Jordanie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.89;;;2.74;;2.56;;2.873924;;2.956611;;2.69;;;;
Japon;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.02;;;3.97;;3.93;;3.914618;;3.970464;;4.03;;;;3.9
Kazakhstan;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.12;;;2.83;;2.69;;2.69942;;2.751998;;2.81;;;;2.7
Kenya;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.52;;;2.59;;2.43;;2.812079;;3.331295;;2.81;;;;
République kirghize;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.35;;;2.62;;2.35;;2.209336;;2.15593;;2.55;;;;2.3
Cambodge;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.5;;;2.37;;2.56;;2.741407;;2.80059;;2.58;;;;2.4
Kiribati;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Saint-Kitts-et-Nevis;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Koweït;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.99;;;3.28;;2.83;;3.0113;;3.151619;;2.86;;;;3.2
Amérique latine et Caraïbes (hors revenu élevé);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.54;;;2.73470588235294;;2.683125;;2.72836905882353;;2.59865941176471;;2.653125;;;;2.67058823529412
Liban;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.37;;;3.34;;2.58;;2.725805;;2.717255;;2.72;;;;
Libéria;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.31;;;2.38;;2.45;;2.62;;2.203914;;2.23;;;;2.4
Libye;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.33;;2.28;;2.496979;;2.264495;;2.11;;;;1.9
Sainte-Lucie;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Amérique latine et Caraïbes;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.56952380952381;;;2.74130434782609;;2.70818181818182;;2.76907182608696;;2.664341375;;2.66434782608696;;;;2.692
Liechtenstein;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Sri Lanka;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.4;;;2.29;;2.75;;2.695239;;;;2.6;;;;2.8
Lesotho;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.3;;;;;2.24;;2.372849;;2.025983;;2.28;;;;
Lituanie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.78;;;3.13;;2.95;;3.178416;;3.631688;;3.02;;;;3.4
Luxembourg;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.54;;;3.98;;3.82;;3.946726;;4.219409;;3.63;;;;3.6
Lettonie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.02;;;3.25;;2.78;;3.402789;;3.327107;;2.81;;;;3.5
Saint-Martin (fr);Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Maroc;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.38;;;;;3.03;;;;2.665994;;2.54;;;;
Monaco;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Moldova;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.31;;;2.57;;2.33;;2.653311;;2.614269;;2.46;;;;2.5
Madagascar;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.24;;;2.66;;2.72;;2.382349;;2.154639;;2.39;;;;2.3
Maldives;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.4;;2.55;;2.747544;;2.513077;;2.67;;;;
Mexique;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.87;;;3.05;;3.06;;3.128319;;3.114031;;3.05;;;;2.9
Îles Marshall;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Macédoine du Nord;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.43;;;2.77;;2.56;;2.499137;;2.510262;;2.7;;;;3.1
Mali;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.29;;;2.27;;;;2.495227;;2.503073;;2.59;;;;2.6
Malte;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.82;;3.16;;3.106275;;3.069256;;2.81;;;;3.3
Myanmar;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.86;;;2.33;;2.37;;2.249909;;2.458571;;2.3;;;;
Monténégro;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.43;;2.45;;2.87552;;2.380016;;2.75;;;;2.8
Mongolie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.08;;;2.25;;2.25;;2.355608;;2.506056;;2.37;;;;2.5
Mariannes;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Mozambique;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.29;;;2.29;;;;2.228925;;2.684105;;;;;;
Mauritanie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.63;;;;;2.4;;2.228909;;1.866001;;2.33;;;;2.3
Maurice;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.13;;;2.72;;2.82;;2.514919;;;;2.73;;;;2.5
Malawi;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.42;;;;;2.81;;2.813029;;;;2.59;;;;
Malaisie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.48;;;3.44;;3.49;;3.590425;;3.426307;;3.22;;;;3.6
Amérique du Nord;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.88;;;3.865;;3.89;;3.8866615;;3.9614395;;3.81;;;;3.9
Namibie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.16;;;2.02;;2.65;;2.657883;;2.744745;;;;;;2.9
Nouvelle-Calédonie;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Niger;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.97;;;2.54;;2.69;;2.393399;;2.561951;;2.07;;;;
Nigéria;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.4;;;2.59;;2.45;;2.808778;;2.62809;;2.53;;;;2.6
Nicaragua;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.21;;;2.54;;;;2.653283;;2.531062;;;;;;2.5
Pays-Bas;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.18;;;4.07;;4.02;;4.047782;;4.18753;;4.02;;;;4.1
Norvège;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.81;;;3.93;;3.68;;3.958243;;3.732163;;3.7;;;;3.7
Népal;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.14;;;2.2;;2.04;;2.587906;;2.376783;;2.51;;;;
Nauru;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Nouvelle-Zélande;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.75;;;3.65;;3.42;;3.643892;;3.388;;3.88;;;;3.6
Oman;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.92;;;2.84;;2.89;;2.995026;;3.234308;;3.2;;;;3.3
Autres petits états;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.47777777777778;;;2.76818181818182;;2.705;;2.80348025;;2.78364716666667;;2.79230769230769;;;;3.07777777777778
Pakistan;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.62;;;2.53;;2.83;;2.825426;;2.923219;;2.42;;;;
Panama;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.89;;;3.02;;2.93;;3.193734;;3.337843;;3.28;;;;3.1
Pérou;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.77;;;2.8;;2.94;;2.840685;;2.893389;;2.69;;;;3
Philippines;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.69;;;3.14;;3.02;;3.003844;;2.856259;;2.9;;;;3.3
Palaos;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Papouasie-Nouvelle-Guinée;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.38;;;2.41;;2.38;;2.430098;;2.510624;;2.17;;;;2.7
Pologne;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.04;;;3.44;;3.43;;3.493829;;3.425877;;3.54;;;;3.6
Porto Rico;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Portugal;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.38;;;3.34;;3.5;;3.560284;;3.409367;;3.64;;;;3.4
Paraguay;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.57;;;2.75;;2.48;;2.779734;;2.561337;;2.78;;;;2.7
Cisjordanie et Gaza;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Polynésie française;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Qatar;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.98;;;2.95;;3.32;;3.516657;;3.599232;;3.47;;;;3.5
Roumanie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.91;;;2.84;;3;;3.261155;;2.99312;;3.12;;;;3.2
Fédération de Russie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.37;;;2.61;;2.58;;2.694479;;2.570864;;2.76;;;;2.6
Rwanda;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.77;;;2.04;;2.27;;2.759116;;2.986229;;2.97;;;;2.8
Asie du Sud;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.29571428571429;;;2.4875;;2.58142857142857;;2.607411875;;2.62282028571429;;2.51;;;;2.64
Arabie saoudite;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.02;;;3.22;;3.18;;3.148437;;3.156376;;3.01;;;;3.4
Soudan;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.71;;;2.21;;2.1;;2.160954;;2.530408;;2.43;;;;2.4
Sénégal;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.37;;;2.86;;2.49;;2.62217;;2.327711;;2.25;;;;
Singapour;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.19;;;4.09;;4.13;;4.004448;;4.143632;;4;;;;4.3
Îles Salomon;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.08;;;2.31;;2.41;;2.587528;;2.417321;;2.57;;;;2.8
Sierra Leone;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.95;;;1.97;;2.08;;;;2.025402;;2.08;;;;
El Salvador;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.66;;;2.67;;2.6;;2.960467;;2.705726;;2.58;;;;2.7
Saint-Marin;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Somalie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.16;;;1.34;;;;1.773126;;1.747098;;2.21;;;;2
Serbie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.28;;;2.69;;2.8;;2.962556;;2.762577;;2.84;;;;2.8
Afrique subsaharienne (hors revenu élevé);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.3474358974359;;;2.42194444444444;;2.45648648648649;;2.46120590476191;;2.47001585;;2.44974358974359;;;;2.53461538461538
Soudan du Sud;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Afrique subsaharienne;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.3474358974359;;;2.42194444444444;;2.45648648648649;;2.46120590476191;;2.47001585;;2.44974358974359;;;;2.53461538461538
Petits états;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.40272727272727;;;2.668;;2.648125;;2.7590245;;2.72213925;;2.71235294117647;;;;2.88666666666667
Sao Tomé-et-Principe;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.86;;;;;2.48;;2.733896;;2.325633;;2.65;;;;
Suriname;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
République slovaque;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.92;;;3.24;;3.03;;3.254533;;3.336895;;3.03;;;;3.3
Slovénie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.14;;;2.87;;3.29;;3.383272;;3.184508;;3.31;;;;3.3
Suède;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.08;;;4.08;;3.85;;3.961349;;4.204593;;4.05;;;;4
Eswatini;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Sint Maarten (Dutch part);Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Seychelles;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
République arabe syrienne;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.09;;;2.74;;2.6;;2.090922;;1.598322;;2.3;;;;2.3
Îles Turques-et-Caïques;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Tchad;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.98;;;2.49;;2.03;;2.52968;;2.164453;;2.42;;;;
Asie de l’Est et Pacifique (BIRD et IDA);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.58153846153846;;;2.72692307692308;;2.77230769230769;;2.85316438461538;;2.787426;;2.81538461538462;;;;2.95833333333333
Togo;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.25;;;2.6;;2.58;;2.31846;;2.617778;;2.45;;;;2.5
Thaïlande;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.31;;;3.29;;3.18;;3.42958;;3.2551;;3.41;;;;3.5
Tadjikistan;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.93;;;2.35;;2.28;;2.527419;;2.062743;;2.34;;;;2.5
Turkménistan;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.49;;;;2.30495;;2.211396;;2.41;;;;
Amérique latine et Caraïbes (BIRD et IDA);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.56952380952381;;;2.77285714285714;;2.7315;;2.79037866666667;;2.67489986363636;;2.69285714285714;;;;2.71304347826087
Timor-Leste;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.71;;;;;;;;;;;;;;;
Tonga;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
