Zone;Élément;Produit;Année;Unité;Valeur
Angola;Pertes;Viande de Volailles;2017;Milliers de tonnes;2
Angola;Traitement;Viande de Volailles;2017;Milliers de tonnes;2
Angola;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Angola;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Angola;Nourriture;Viande de Volailles;2017;Milliers de tonnes;315
Angola;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;10.56
Angola;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;35
Angola;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;3.6
Angola;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;2.22
Antigua-et-Barbuda;Production;Viande de Volailles;2017;Milliers de tonnes;0
Antigua-et-Barbuda;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;7
Antigua-et-Barbuda;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Antigua-et-Barbuda;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Antigua-et-Barbuda;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;7
Antigua-et-Barbuda;Autres utilisations (non alimentaire);Viande de Volailles;2017;Milliers de tonnes;0
Antigua-et-Barbuda;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;2
Antigua-et-Barbuda;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Antigua-et-Barbuda;Nourriture;Viande de Volailles;2017;Milliers de tonnes;5
Antigua-et-Barbuda;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;54.1
Antigua-et-Barbuda;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;233
Antigua-et-Barbuda;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;17.77
Antigua-et-Barbuda;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;17.55
Arabie saoudite;Production;Viande de Volailles;2017;Milliers de tonnes;616
Arabie saoudite;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;722
Arabie saoudite;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;-108
Arabie saoudite;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;10
Arabie saoudite;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;1435
Arabie saoudite;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Arabie saoudite;Nourriture;Viande de Volailles;2017;Milliers de tonnes;1435
Arabie saoudite;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;43.36
Arabie saoudite;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;151
Arabie saoudite;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;15.57
Arabie saoudite;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;9.38
Argentine;Production;Viande de Volailles;2017;Milliers de tonnes;2161
Argentine;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;8
Argentine;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Argentine;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;207
Argentine;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;1962
Argentine;Pertes;Viande de Volailles;2017;Milliers de tonnes;106
Argentine;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Argentine;Nourriture;Viande de Volailles;2017;Milliers de tonnes;1856
Argentine;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;42.24
Argentine;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;182
Argentine;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;13.53
Argentine;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;13.84
Arménie;Production;Viande de Volailles;2017;Milliers de tonnes;11
Arménie;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;35
Arménie;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;-2
Arménie;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Arménie;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;47
Arménie;Pertes;Viande de Volailles;2017;Milliers de tonnes;0
Arménie;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Arménie;Nourriture;Viande de Volailles;2017;Milliers de tonnes;47
Arménie;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;16.06
Arménie;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;54
Arménie;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;5.44
Arménie;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;3.39
Australie;Production;Viande de Volailles;2017;Milliers de tonnes;1269
Australie;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;16
Australie;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;71
Australie;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;42
Australie;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;1171
Australie;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Australie;Nourriture;Viande de Volailles;2017;Milliers de tonnes;1171
Australie;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;47.65
Australie;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;192
Australie;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;16.6
Australie;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;13.45
Autriche;Production;Viande de Volailles;2017;Milliers de tonnes;148
Autriche;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;110
Autriche;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;8
Autriche;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;78
Autriche;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;173
Autriche;Traitement;Viande de Volailles;2017;Milliers de tonnes;12
Autriche;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Autriche;Nourriture;Viande de Volailles;2017;Milliers de tonnes;160
Autriche;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;18.2
Autriche;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;65
Autriche;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;7.49
Autriche;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;3.66
Azerbaïdjan;Production;Viande de Volailles;2017;Milliers de tonnes;104
Azerbaïdjan;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;27
Azerbaïdjan;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;2
Azerbaïdjan;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Azerbaïdjan;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;129
Azerbaïdjan;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Azerbaïdjan;Nourriture;Viande de Volailles;2017;Milliers de tonnes;129
Azerbaïdjan;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;13.11
Azerbaïdjan;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;44
Azerbaïdjan;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;4.45
Azerbaïdjan;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;2.77
Bahamas;Production;Viande de Volailles;2017;Milliers de tonnes;6
Bahamas;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;24
Bahamas;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;4
Bahamas;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;26
Bahamas;Autres utilisations (non alimentaire);Viande de Volailles;2017;Milliers de tonnes;9
Bahamas;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Bahamas;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Bahamas;Nourriture;Viande de Volailles;2017;Milliers de tonnes;16
Bahamas;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;43.17
Bahamas;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;182
Bahamas;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;14.61
Bahamas;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;13.33
Bangladesh;Production;Viande de Volailles;2017;Milliers de tonnes;249
Bangladesh;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Bangladesh;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Bangladesh;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;250
Bangladesh;Pertes;Viande de Volailles;2017;Milliers de tonnes;10
Bangladesh;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;0
Bangladesh;Nourriture;Viande de Volailles;2017;Milliers de tonnes;240
Bangladesh;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;1.5
Bangladesh;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;7
Bangladesh;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;0.47
Bangladesh;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;0.51
Barbade;Production;Viande de Volailles;2017;Milliers de tonnes;15
Barbade;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;2
Barbade;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;0
Barbade;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;0
Barbade;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;17
Barbade;Autres utilisations (non alimentaire);Viande de Volailles;2017;Milliers de tonnes;0
Barbade;Alimentation pour touristes;Viande de Volailles;2017;Milliers de tonnes;3
Barbade;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
Barbade;Nourriture;Viande de Volailles;2017;Milliers de tonnes;13
Barbade;Disponibilité alimentaire en quantité (kg/personne/an);Viande de Volailles;2017;kg;46.78
Barbade;Disponibilité alimentaire (Kcal/personne/jour);Viande de Volailles;2017;Kcal/personne/jour;199
Barbade;Disponibilité de protéines en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;15.33
Barbade;Disponibilité de matière grasse en quantité (g/personne/jour);Viande de Volailles;2017;g/personne/jour;14.85
Bélarus;Production;Viande de Volailles;2017;Milliers de tonnes;463
Bélarus;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;21
Bélarus;Variation de stock;Viande de Volailles;2017;Milliers de tonnes;67
Bélarus;Exportations - Quantité;Viande de Volailles;2017;Milliers de tonnes;152
Bélarus;Disponibilité intérieure;Viande de Volailles;2017;Milliers de tonnes;265
Bélarus;Traitement;Viande de Volailles;2017;Milliers de tonnes;1
Bélarus;Résidus;Viande de Volailles;2017;Milliers de tonnes;0
